drug_name,symptoms,description
Acetaminophen,"['fever', 'headache', 'body ache']",Medication for treating fever, headache, body ache
Ibuprofen,"['fever', 'joint pain', 'headache', 'body ache']",Medication for treating fever, joint pain, headache, body ache
Aspirin,"['fever', 'headache', 'body ache']",Medication for treating fever, headache, body ache
Amoxicillin,"['sore throat', 'ear pain', 'cough']",Medication for treating sore throat, ear pain, cough
Azithromycin,"['cough', 'fever', 'sore throat']",Medication for treating cough, fever, sore throat
Loratadine,"['runny nose', 'rash', 'eye irritation']",Medication for treating runny nose, rash, eye irritation
Cetirizine,"['runny nose', 'eye irritation', 'rash']",Medication for treating runny nose, eye irritation, rash
Diphenhydramine,"['runny nose', 'insomnia', 'rash']",Medication for treating runny nose, insomnia, rash
Pseudoephedrine,"['runny nose', 'congestion', 'sinus pressure']",Medication for treating runny nose, congestion, sinus pressure
Guaifenesin,"['cough', 'chest congestion']",Medication for treating cough, chest congestion
Dextromethorphan,"['cough', 'sore throat']",Medication for treating cough, sore throat
Phenylephrine,"['runny nose', 'congestion']",Medication for treating runny nose, congestion
Omeprazole,"['heartburn', 'acid reflux', 'stomach pain']",Medication for treating heartburn, acid reflux, stomach pain
Ranitidine,"['heartburn', 'acid reflux', 'indigestion']",Medication for treating heartburn, acid reflux, indigestion
Famotidine,"['heartburn', 'acid reflux', 'stomach pain']",Medication for treating heartburn, acid reflux, stomach pain
Simvastatin,"['high cholesterol', 'heart disease risk']",Medication for treating high cholesterol, heart disease risk
Atorvastatin,"['high cholesterol', 'heart disease risk']",Medication for treating high cholesterol, heart disease risk
Lisinopril,"['high blood pressure', 'heart failure']",Medication for treating high blood pressure, heart failure
Amlodipine,"['high blood pressure', 'chest pain']",Medication for treating high blood pressure, chest pain
Metformin,"['high blood sugar', 'type 2 diabetes']",Medication for treating high blood sugar, type 2 diabetes
Albuterol,"['shortness of breath', 'wheezing', 'cough']",Medication for treating shortness of breath, wheezing, cough
Fluticasone,"['nasal congestion', 'runny nose', 'sneezing']",Medication for treating nasal congestion, runny nose, sneezing
Montelukast,"['allergies', 'asthma', 'shortness of breath']",Medication for treating allergies, asthma, shortness of breath
Prednisone,"['inflammation', 'allergic reactions', 'autoimmune disorders']",Medication for treating inflammation, allergic reactions, autoimmune disorders
Metoprolol,"['high blood pressure', 'chest pain', 'heart failure']",Medication for treating high blood pressure, chest pain, heart failure
Losartan,"['high blood pressure', 'kidney protection', 'heart failure']",Medication for treating high blood pressure, kidney protection, heart failure
Hydrochlorothiazide,"['high blood pressure', 'fluid retention', 'swelling']",Medication for treating high blood pressure, fluid retention, swelling
Sertraline,"['depression', 'anxiety', 'panic disorder']",Medication for treating depression, anxiety, panic disorder
Fluoxetine,"['depression', 'anxiety', 'obsessive-compulsive disorder']",Medication for treating depression, anxiety, obsessive-compulsive disorder
Escitalopram,"['depression', 'anxiety', 'panic disorder']",Medication for treating depression, anxiety, panic disorder
Levothyroxine,"['hypothyroidism', 'fatigue', 'weight gain']",Medication for treating hypothyroidism, fatigue, weight gain
Gabapentin,"['nerve pain', 'seizures', 'restless leg syndrome']",Medication for treating nerve pain, seizures, restless leg syndrome
Tramadol,"['moderate to severe pain', 'chronic pain']",Medication for treating moderate to severe pain, chronic pain
Cyclobenzaprine,"['muscle spasms', 'muscle pain', 'stiffness']",Medication for treating muscle spasms, muscle pain, stiffness
Meloxicam,"['arthritis', 'joint pain', 'inflammation']",Medication for treating arthritis, joint pain, inflammation
Naproxen,"['pain', 'inflammation', 'fever', 'menstrual cramps']",Medication for treating pain, inflammation, fever, menstrual cramps
Ciprofloxacin,"['urinary tract infections', 'respiratory infections', 'skin infections']",Medication for treating urinary tract infections, respiratory infections, skin infections
Metronidazole,"['bacterial infections', 'parasitic infections', 'rosacea']",Medication for treating bacterial infections, parasitic infections, rosacea
Fluconazole,"['fungal infections', 'yeast infections', 'thrush']",Medication for treating fungal infections, yeast infections, thrush
Amoxicillin-Clavulanate,"['bacterial infections', 'sinus infections', 'ear infections', 'pneumonia']",Medication for treating bacterial infections, sinus infections, ear infections, pneumonia
